Bw,osr,nlev,Hinf,Cint,gm,Ro,Co,SNR
585696713.7520138,64,4,1.5,5.285809845693777e-13,0.0003648555723446913,706095.5931462366,2.4317093205793688e-14,71.02271334226455
175997791.2071212,32,4,1.5,5.710475114527977e-13,0.0007459234389321629,875734.901499286,3.0279626137438865e-14,57.140767403609296
610748663.6047337,32,5,1.5,9.069138884493079e-13,0.0007949210051798551,223474.4668463257,7.610958780005316e-14,54.70775543798364
258043850.0488051,128,3,1.5,4.996034144191985e-13,0.0002238899735090735,478772.69824952766,2.269131294295951e-14,84.28675153520524
984331875.6800282,64,3,1.5,4.63849311967413e-13,0.0006793230366110728,170843.1351688965,3.015270210716724e-14,72.4595021337724
860444143.9186735,128,3,1.5,9.130183377796562e-13,0.00012391022571370621,807792.6609361481,6.920726158228483e-14,76.36663021911899
405329186.51305276,256,4,1.5,8.907827115198631e-13,0.00047396105368019826,530449.820490446,8.22138879673926e-14,83.72626822680424
361083487.442603,256,3,1.5,7.726672494006376e-13,0.0005224357444976026,353871.63931251975,2.9334144605711686e-14,81.46285590057909
541514862.518852,64,5,1.5,5.908898074594445e-13,0.0007127797125405328,868416.4380290217,4.558172289977651e-14,69.90865318481512
321435270.88853115,64,3,1.5,8.718247697744345e-13,0.00035127628234131843,927088.2514967795,7.89136944231632e-14,72.9958767432793
399166033.7139568,64,3,1.5,5.754108169204407e-13,0.0009926048037811937,324333.72217144613,1.3847845982875952e-14,70.88863546101172
673374978.2211237,256,4,1.5,5.982168609983311e-13,0.0008864883383942901,169508.12866018244,2.4128301915370646e-14,81.4898787497102
387101069.8061268,64,3,1.5,5.069238034339007e-13,0.0003875437170605224,943662.2283019014,3.7300065123045966e-14,71.26868214731807
44677487.25811045,64,5,1.5,2.2042820356489956e-13,0.000507995462934208,337349.90613229526,2.155414066481942e-14,75.8729637077976
609452077.7652142,32,5,1.5,5.230277062276694e-13,0.0008890658098035246,578836.8619327977,1.1051150858643444e-14,57.32420138427795
296687879.9043037,64,4,1.5,9.86632014470812e-13,0.00020709619317322997,677947.0162054499,6.117980564034601e-14,73.17391086482716
663746589.95,32,3,1.5,2.0748248869295637e-13,0.0008329861999546972,262080.96504161484,1.540436319955765e-14,54.19860082347347
835014755.3775152,32,3,1.5,8.684919969559341e-13,0.0009981931148576341,129341.56276956906,2.1513876843370384e-14,53.327645939781824
813371514.6871295,32,2,1.5,9.024598316270018e-13,0.0008123693536438392,448965.5188204105,2.3179926596435317e-14,52.57616276354775
