Order,OSR,Levels,Hinf,Form,SNR
2,32,2,1.0,CRFB,
2,32,2,1.0,CRFF,inf
2,32,2,1.0,CIFB,
2,32,2,1.0,CIFF,inf
2,32,2,1.0,CRFBD,
2,32,2,1.0,CRFFD,inf
2,32,2,1.5,CRFB,55.90941116145388
2,32,2,1.5,CRFF,48.96495432610682
2,32,2,1.5,CIFB,53.34821416160905
2,32,2,1.5,CIFF,45.00023807692826
2,32,2,1.5,CRFBD,53.34821416160905
2,32,2,1.5,CRFFD,45.00023807692821
2,32,2,2.0,CRFB,58.08898059681563
2,32,2,2.0,CRFF,55.82147972466678
2,32,2,2.0,CIFB,54.90595390359264
2,32,2,2.0,CIFF,49.828894397513594
2,32,2,2.0,CRFBD,54.90595390359264
2,32,2,2.0,CRFFD,49.828894397513544
2,32,3,1.0,CRFB,
2,32,3,1.0,CRFF,inf
2,32,3,1.0,CIFB,
2,32,3,1.0,CIFF,inf
2,32,3,1.0,CRFBD,
2,32,3,1.0,CRFFD,inf
2,32,3,1.5,CRFB,55.90941116145388
2,32,3,1.5,CRFF,48.96495432610682
2,32,3,1.5,CIFB,53.34821416160905
2,32,3,1.5,CIFF,45.00023807692826
2,32,3,1.5,CRFBD,53.34821416160905
2,32,3,1.5,CRFFD,45.00023807692821
2,32,3,2.0,CRFB,58.08898059681563
2,32,3,2.0,CRFF,55.82147972466678
2,32,3,2.0,CIFB,54.90595390359264
2,32,3,2.0,CIFF,49.828894397513594
2,32,3,2.0,CRFBD,54.90595390359264
2,32,3,2.0,CRFFD,49.828894397513544
2,64,2,1.0,CRFB,
2,64,2,1.0,CRFF,inf
2,64,2,1.0,CIFB,
2,64,2,1.0,CIFF,inf
2,64,2,1.0,CRFBD,
2,64,2,1.0,CRFFD,inf
2,64,2,1.5,CRFB,71.17111807735934
2,64,2,1.5,CRFF,62.50356547036142
2,64,2,1.5,CIFB,68.78849379209156
2,64,2,1.5,CIFF,59.117122284090804
2,64,2,1.5,CRFBD,68.7884937920916
2,64,2,1.5,CRFFD,59.11712228409076
2,64,2,2.0,CRFB,72.04420058093406
2,64,2,2.0,CRFF,70.9181894521801
2,64,2,2.0,CIFB,71.4638718400804
2,64,2,2.0,CIFF,64.58776365236847
2,64,2,2.0,CRFBD,71.46387184008034
2,64,2,2.0,CRFFD,64.58776365236835
2,64,3,1.0,CRFB,
2,64,3,1.0,CRFF,inf
2,64,3,1.0,CIFB,
2,64,3,1.0,CIFF,inf
2,64,3,1.0,CRFBD,
2,64,3,1.0,CRFFD,inf
2,64,3,1.5,CRFB,71.17111807735934
2,64,3,1.5,CRFF,62.50356547036142
2,64,3,1.5,CIFB,68.78849379209156
2,64,3,1.5,CIFF,59.117122284090804
2,64,3,1.5,CRFBD,68.7884937920916
2,64,3,1.5,CRFFD,59.11712228409076
2,64,3,2.0,CRFB,72.04420058093406
2,64,3,2.0,CRFF,70.9181894521801
2,64,3,2.0,CIFB,71.4638718400804
2,64,3,2.0,CIFF,64.58776365236847
2,64,3,2.0,CRFBD,71.46387184008034
2,64,3,2.0,CRFFD,64.58776365236835
2,128,2,1.0,CRFB,
2,128,2,1.0,CRFF,inf
2,128,2,1.0,CIFB,
2,128,2,1.0,CIFF,inf
2,128,2,1.0,CRFBD,
2,128,2,1.0,CRFFD,inf
2,128,2,1.5,CRFB,84.2578931367696
2,128,2,1.5,CRFF,78.04627625124465
2,128,2,1.5,CIFB,82.64283469722317
2,128,2,1.5,CIFF,77.7687049555548
2,128,2,1.5,CRFBD,82.64283469722356
2,128,2,1.5,CRFFD,77.76870495555511
2,128,2,2.0,CRFB,84.49935745617648
2,128,2,2.0,CRFF,83.17696049174499
2,128,2,2.0,CIFB,83.31462722842201
2,128,2,2.0,CIFF,79.56114440517423
2,128,2,2.0,CRFBD,83.31462722842221
2,128,2,2.0,CRFFD,79.56114440517437
2,128,3,1.0,CRFB,
2,128,3,1.0,CRFF,inf
2,128,3,1.0,CIFB,
2,128,3,1.0,CIFF,inf
2,128,3,1.0,CRFBD,
2,128,3,1.0,CRFFD,inf
2,128,3,1.5,CRFB,84.2578931367696
2,128,3,1.5,CRFF,78.04627625124465
2,128,3,1.5,CIFB,82.64283469722317
2,128,3,1.5,CIFF,77.7687049555548
2,128,3,1.5,CRFBD,82.64283469722356
2,128,3,1.5,CRFFD,77.76870495555511
2,128,3,2.0,CRFB,84.49935745617648
2,128,3,2.0,CRFF,83.17696049174499
2,128,3,2.0,CIFB,83.31462722842201
2,128,3,2.0,CIFF,79.56114440517423
2,128,3,2.0,CRFBD,83.31462722842221
2,128,3,2.0,CRFFD,79.56114440517437
2,256,2,1.0,CRFB,
2,256,2,1.0,CRFF,inf
2,256,2,1.0,CIFB,
2,256,2,1.0,CIFF,inf
2,256,2,1.0,CRFBD,
2,256,2,1.0,CRFFD,inf
2,256,2,1.5,CRFB,85.87577115172698
2,256,2,1.5,CRFF,85.54822812703408
2,256,2,1.5,CIFB,85.87252717944327
2,256,2,1.5,CIFF,84.77819511383181
2,256,2,1.5,CRFBD,85.87252717944318
2,256,2,1.5,CRFFD,84.77819511382974
2,256,2,2.0,CRFB,85.94328316237194
2,256,2,2.0,CRFF,85.7401105879832
2,256,2,2.0,CIFB,86.02117364280952
2,256,2,2.0,CIFF,85.87475689103192
2,256,2,2.0,CRFBD,86.0211736428079
2,256,2,2.0,CRFFD,85.87475689103171
2,256,3,1.0,CRFB,
2,256,3,1.0,CRFF,inf
2,256,3,1.0,CIFB,
2,256,3,1.0,CIFF,inf
2,256,3,1.0,CRFBD,
2,256,3,1.0,CRFFD,inf
2,256,3,1.5,CRFB,85.87577115172698
2,256,3,1.5,CRFF,85.54822812703408
2,256,3,1.5,CIFB,85.87252717944327
2,256,3,1.5,CIFF,84.77819511383181
2,256,3,1.5,CRFBD,85.87252717944318
2,256,3,1.5,CRFFD,84.77819511382974
2,256,3,2.0,CRFB,85.94328316237194
2,256,3,2.0,CRFF,85.7401105879832
2,256,3,2.0,CIFB,86.02117364280952
2,256,3,2.0,CIFF,85.87475689103192
2,256,3,2.0,CRFBD,86.0211736428079
2,256,3,2.0,CRFFD,85.87475689103171
3,32,2,1.0,CRFB,23.384083267566147
3,32,2,1.0,CRFF,4.904641827588249
3,32,2,1.0,CIFB,23.902309764076076
3,32,2,1.0,CIFF,4.491988229907054
3,32,2,1.0,CRFBD,3.1850897112453542
3,32,2,1.0,CRFFD,-1.0530942990964505
